system,instances,throughput,latency
waves,50,96,6556.579151
waves,100,83,10751.861053
waves,150,79,34897.221576
waves,200,49,51933.624473
waves,250,12,33570.161017
waves,400,8,4925.839286
waves,450,0,5318.285714
waves,500,0,6943.000000
waves,50,95,6730.816867
waves,100,81,12589.203458
waves,150,68,33723.648253
waves,200,53,40553.940179
waves,250,30,51731.088908
waves,450,0,5346.214286
waves,500,0,7034.000000
waves,50,94,6434.126302
waves,100,84,10346.335941
waves,150,69,37678.368697
waves,200,54,44149.898882
waves,250,17,31768.247788
waves,400,59,5219.564738
waves,450,0,4822.500000
waves,500,0,7349.285714
waves,50,97,6624.242119
waves,100,66,10200.019737
waves,150,67,41044.998824
waves,200,36,44969.517454
waves,250,14,31827.067485
waves,300,14,33277.379310
waves,400,1,5026.500000
waves,450,0,5152.285714
waves,500,0,7251.833333
waves,50,95,6455.455497
waves,100,82,11130.804430
waves,150,69,41650.681768
waves,200,21,45311.364017
waves,250,14,36864.147783
waves,400,51,5213.585366
waves,450,0,5435.785714
waves,500,0,7004.714286
waves,50,99,5482.148260
waves,100,67,20615.464902
waves,150,69,39086.146722
waves,200,21,59368.417062
waves,400,13,47554.542857
waves,450,0,5463.071429
waves,500,0,5471.000000
